chunk_id	status	filename	rows_approx	upload_url	notes
0063	UPLOADED	expr_part_0063of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0063of0270.tsv.gz	upload_confirmed
0064	UPLOADED	expr_part_0064of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0064of0270.tsv.gz	upload_confirmed
0065	UPLOADED	expr_part_0065of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0065of0270.tsv.gz	upload_confirmed
0066	UPLOADED	expr_part_0066of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0066of0270.tsv.gz	upload_confirmed
0067	UPLOADED	expr_part_0067of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0067of0270.tsv.gz	upload_confirmed
0068	UPLOADED	expr_part_0068of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0068of0270.tsv.gz	upload_confirmed
0069	UPLOADED	expr_part_0069of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0069of0270.tsv.gz	upload_confirmed
0070	UPLOADED	expr_part_0070of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0070of0270.tsv.gz	upload_confirmed
0071	UPLOADED	expr_part_0071of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0071of0270.tsv.gz	upload_confirmed
0072	UPLOADED	expr_part_0072of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0072of0270.tsv.gz	upload_confirmed
0073	UPLOADED	expr_part_0073of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0073of0270.tsv.gz	upload_confirmed
0074	UPLOADED	expr_part_0074of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0074of0270.tsv.gz	upload_confirmed
0075	UPLOADED	expr_part_0075of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0075of0270.tsv.gz	upload_confirmed
0076	UPLOADED	expr_part_0076of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0076of0270.tsv.gz	upload_confirmed
0077	UPLOADED	expr_part_0077of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0077of0270.tsv.gz	upload_confirmed
0078	UPLOADED	expr_part_0078of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0078of0270.tsv.gz	upload_confirmed
0079	UPLOADED	expr_part_0079of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0079of0270.tsv.gz	upload_confirmed
0080	UPLOADED	expr_part_0080of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0080of0270.tsv.gz	upload_confirmed
0081	UPLOADED	expr_part_0081of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0081of0270.tsv.gz	upload_confirmed
0082	UPLOADED	expr_part_0082of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0082of0270.tsv.gz	upload_confirmed
0083	UPLOADED	expr_part_0083of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0083of0270.tsv.gz	upload_confirmed
0084	UPLOADED	expr_part_0084of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0084of0270.tsv.gz	upload_confirmed
0085	UPLOADED	expr_part_0085of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0085of0270.tsv.gz	upload_confirmed
0086	UPLOADED	expr_part_0086of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0086of0270.tsv.gz	upload_confirmed
0087	UPLOADED	expr_part_0087of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0087of0270.tsv.gz	upload_confirmed
0088	UPLOADED	expr_part_0088of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0088of0270.tsv.gz	upload_confirmed
0089	UPLOADED	expr_part_0089of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0089of0270.tsv.gz	upload_confirmed
0090	UPLOADED	expr_part_0090of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0090of0270.tsv.gz	upload_confirmed
0091	UPLOADED	expr_part_0091of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0091of0270.tsv.gz	upload_confirmed
0092	UPLOADED	expr_part_0092of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0092of0270.tsv.gz	upload_confirmed
0093	UPLOADED	expr_part_0093of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0093of0270.tsv.gz	upload_confirmed
0094	UPLOADED	expr_part_0094of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0094of0270.tsv.gz	upload_confirmed
0095	UPLOADED	expr_part_0095of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0095of0270.tsv.gz	upload_confirmed
0096	UPLOADED	expr_part_0096of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0096of0270.tsv.gz	upload_confirmed
0097	UPLOADED	expr_part_0097of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0097of0270.tsv.gz	upload_confirmed
0098	UPLOADED	expr_part_0098of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0098of0270.tsv.gz	upload_confirmed
0099	UPLOADED	expr_part_0099of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0099of0270.tsv.gz	upload_confirmed
0100	UPLOADED	expr_part_0100of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0100of0270.tsv.gz	upload_confirmed
0101	UPLOADED	expr_part_0101of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0101of0270.tsv.gz	upload_confirmed
0102	UPLOADED	expr_part_0102of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0102of0270.tsv.gz	upload_confirmed
0103	UPLOADED	expr_part_0103of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0103of0270.tsv.gz	upload_confirmed
0104	UPLOADED	expr_part_0104of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0104of0270.tsv.gz	upload_confirmed
0105	UPLOADED	expr_part_0105of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0105of0270.tsv.gz	upload_confirmed
0106	UPLOADED	expr_part_0106of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0106of0270.tsv.gz	upload_confirmed
0107	UPLOADED	expr_part_0107of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0107of0270.tsv.gz	upload_confirmed
0108	UPLOADED	expr_part_0108of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0108of0270.tsv.gz	upload_confirmed
